2026-01-21 15:14:45,946 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 17.1487603306, threshold 2, at 1769008485'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:46,093 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 68.1625207701, threshold 2, at 1769008485'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:46,336 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 4070741.3333333335, threshold 2, at 1769008485'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:46,436 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 17.1487603306, threshold 2, at 1769008486'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:46,559 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 68.1625207701, threshold 2, at 1769008486'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:46,710 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 4070741.3333333335, threshold 2, at 1769008486'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:54,921 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 35.5460385438, threshold 2, at 1769008494'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:55,118 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 67.882606735, threshold 2, at 1769008494'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:55,258 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 4250689.070234113, threshold 2, at 1769008495'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:55,729 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 35.5460385438, threshold 2, at 1769008495'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:55,897 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 67.882606735, threshold 2, at 1769008495'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:56,245 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 4250689.070234113, threshold 2, at 1769008495'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:56,671 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric CPU, value 35.5460385438, threshold 2, at 1769008496'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:56,970 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric RAM, value 67.882606735, threshold 2, at 1769008496'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:14:57,207 | WARNING | VK API error: {'error_code': 5, 'error_msg': 'User authorization failed: invalid access_token (4).', 'request_params': [{'key': 'method', 'value': 'notifications.sendMessage'}, {'key': 'oauth', 'value': '1'}, {'key': 'user_ids', 'value': '183594998'}, {'key': 'message', 'value': 'Alert: Metric DISK_READ, value 4250689.070234113, threshold 2, at 1769008496'}, {'key': 'v', 'value': '5.199'}]}
2026-01-21 15:16:15,605 | INFO | Connecting to RabbitMQ at rabbitmq:5672
2026-01-21 15:16:15,673 | INFO | Consuming queue 'notification_queue'
2026-01-21 15:17:06,560 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:06,726 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:06,913 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:07,055 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:07,208 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:07,475 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:07,811 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:08,056 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:08,260 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:10,272 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:10,463 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:10,703 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:11,098 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:11,299 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:11,571 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:11,952 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:12,117 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:12,332 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:20,461 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:20,657 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:20,875 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:21,094 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:21,369 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:21,545 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:21,783 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:22,007 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:22,167 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:30,351 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:30,722 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:30,914 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:31,177 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:31,379 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:31,606 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:31,994 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:32,246 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:32,428 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:40,434 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:40,730 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:40,977 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:41,281 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:41,476 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:41,779 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:41,922 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:42,105 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:42,220 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:50,181 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:50,332 | INFO | Notification delivered to user_id=183594998
